"label"	"N"	"TP"	"TN"	"FP"	"FN"	"baccMean"	"baccLower"	"baccUpper"	"accMean"	"accLower"	"accUpper"	"sensMean"	"sensLower"	"sensUpper"	"specMean"	"specLower"	"specUpper"	"ppvMean"	"ppvLower"	"ppvUpper"	"npvMean"	"npvLower"	"npvUpper"	"kappaMean"	"kappaLower"	"kappaUpper"
"meta"	4867	7	4824	3	33	0.587	0.528	0.646	0.993	0.99	0.995	0.175	0.057	0.293	0.999	0.999	1	0.7	0.416	0.984	0.993	0.991	0.996	0.278	0.115	0.441
"rct"	4867	10	4820	8	29	0.627	0.558	0.696	0.992	0.99	0.995	0.256	0.119	0.393	0.998	0.997	0.999	0.556	0.326	0.785	0.994	0.992	0.996	0.348	0.188	0.507
