n	kappaMean	kappaLower	kappaUpper	type	n_disagree
7	0.417	-0.263	1	2-round-ii-meta-analysis	2
46	0.677	0.458	0.896	3-round-ii-rodents	7
27	0.352	0.027	0.677	4-round-ii-humans	9
14	0.708	0.334	1	6-round-ii-randomised-trials	2
66	0.313	0.083	0.543	7-round-ii-children	22
4	1	1	1	8-round-ii-protocols	0
